epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,1031.18,0.37274,6.71382,0.00286,0.0028,0.94597,0.96725,0.98976,0.97465,0.24644,0.20687,0.00188,0.002,0.000666,0.000666,0.000666
2,1967.83,0.3162,0.48489,0.00254,0.0024,0.96225,0.98148,0.99264,0.98513,0.20452,0.20416,0.0017,0.00131,0.00130628,0.00130628,0.00130628
3,4294.94,0.30418,0.25609,0.00239,0.0023,0.98254,0.988,0.99398,0.98403,0.22562,0.11712,0.00188,0.00088,0.00192016,0.00192016,0.00192016
4,5296.95,0.29398,0.19465,0.00233,0.00201,0.98466,0.98975,0.99441,0.98916,0.19108,0.10032,0.00157,0.00073,0.0018812,0.0018812,0.0018812
5,6304,0.28464,0.1802,0.00221,0.00189,0.99012,0.988,0.99475,0.9872,0.2052,0.10519,0.0016,0.00139,0.0018416,0.0018416,0.0018416
6,7260.29,0.27727,0.15479,0.00219,0.00193,0.98774,0.991,0.99474,0.98348,0.23035,0.10424,0.00176,0.00107,0.001802,0.001802,0.001802
7,8197.4,0.27875,0.14911,0.00224,0.0017,0.99314,0.99375,0.99492,0.98956,0.18646,0.08403,0.0015,0.00105,0.0017624,0.0017624,0.0017624
8,9135.49,0.26814,0.13695,0.00216,0.00162,0.99101,0.99253,0.99484,0.99017,0.19153,0.0847,0.00155,0.00074,0.0017228,0.0017228,0.0017228
9,10071.8,0.26447,0.13405,0.00213,0.00164,0.98979,0.99321,0.99483,0.991,0.17797,0.07916,0.00144,0.00074,0.0016832,0.0016832,0.0016832
10,11008,0.2598,0.12197,0.00211,0.00158,0.99229,0.99789,0.99477,0.99024,0.19132,0.07672,0.00154,0.0008,0.0016436,0.0016436,0.0016436
11,11944.4,0.26044,0.11991,0.00209,0.00143,0.99511,0.993,0.99493,0.99015,0.18933,0.07717,0.00157,0.00072,0.001604,0.001604,0.001604
12,12878.6,0.2559,0.11616,0.0021,0.0016,0.99251,0.99425,0.99486,0.99099,0.18543,0.07748,0.00146,0.0009,0.0015644,0.0015644,0.0015644
13,13816.2,0.25287,0.11136,0.00205,0.00147,0.99581,0.9935,0.99495,0.99159,0.18005,0.0734,0.00147,0.00064,0.0015248,0.0015248,0.0015248
14,14753.4,0.25054,0.12186,0.00205,0.00141,0.99599,0.99326,0.99497,0.9905,0.17943,0.07097,0.00145,0.00063,0.0014852,0.0014852,0.0014852
15,15690.9,0.25075,0.11193,0.00208,0.00144,0.99574,0.99452,0.99497,0.99169,0.17502,0.07115,0.0014,0.00072,0.0014456,0.0014456,0.0014456
16,16627.2,0.24965,0.11327,0.00207,0.00141,0.99476,0.9962,0.99493,0.99138,0.17823,0.07149,0.00142,0.00082,0.001406,0.001406,0.001406
17,17564.1,0.24798,0.10869,0.00205,0.00141,0.99656,0.9945,0.99494,0.99187,0.17776,0.07172,0.00147,0.00066,0.0013664,0.0013664,0.0013664
18,18503.8,0.24543,0.10718,0.00211,0.00134,0.99476,0.992,0.99491,0.99203,0.16716,0.07245,0.00132,0.00066,0.0013268,0.0013268,0.0013268
19,19522.3,0.24009,0.11191,0.00205,0.00127,0.99523,0.99201,0.99492,0.99158,0.17037,0.07426,0.00137,0.00059,0.0012872,0.0012872,0.0012872
20,20892.2,0.24252,0.10424,0.00208,0.00126,0.99124,0.99425,0.99486,0.99142,0.16623,0.07243,0.00135,0.00065,0.0012476,0.0012476,0.0012476
21,23170.8,0.24347,0.10304,0.00215,0.00139,0.99294,0.996,0.99441,0.99209,0.16801,0.06977,0.00135,0.00072,0.001208,0.001208,0.001208
22,24125,0.236,0.09971,0.00201,0.00132,0.99179,0.99679,0.99492,0.99251,0.16624,0.06938,0.00132,0.00072,0.0011684,0.0011684,0.0011684
23,25355.7,0.24037,0.10334,0.00206,0.00122,0.99603,0.99625,0.99497,0.99223,0.16542,0.06604,0.00132,0.00065,0.0011288,0.0011288,0.0011288
24,26382.3,0.23782,0.10107,0.00201,0.00115,0.99625,0.99644,0.99494,0.99194,0.16619,0.06614,0.00133,0.00059,0.0010892,0.0010892,0.0010892
25,27713.2,0.23224,0.09708,0.00201,0.00127,0.99551,0.99782,0.99494,0.99101,0.17442,0.06854,0.00138,0.00062,0.0010496,0.0010496,0.0010496
26,28757.6,0.2292,0.09587,0.00199,0.0012,0.99501,0.99747,0.99496,0.99198,0.16769,0.06644,0.00135,0.00064,0.00101,0.00101,0.00101
27,29697.7,0.2323,0.0994,0.0021,0.00115,0.99533,0.99875,0.99495,0.99221,0.16593,0.06489,0.00132,0.00066,0.0009704,0.0009704,0.0009704
