epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,184.469,0.40035,10.1314,0.00312,0.00323,0.9433,0.93625,0.98409,0.96608,0.25373,0.27599,0.00216,0.00105,0.000664,0.000664,0.000664
2,359.77,0.3204,0.76638,0.00255,0.00223,0.9655,0.969,0.99165,0.98236,0.21357,0.16151,0.00175,0.00114,0.00130432,0.00130432,0.00130432
3,534.051,0.31106,0.32611,0.00262,0.00229,0.96555,0.9485,0.98997,0.97806,0.24463,0.18138,0.0021,0.00114,0.00191824,0.00191824,0.00191824
4,708.42,0.29982,0.23266,0.00245,0.00195,0.97135,0.987,0.99385,0.98567,0.21743,0.12288,0.00192,0.00148,0.0018812,0.0018812,0.0018812
5,882.739,0.29045,0.18957,0.00244,0.00219,0.98011,0.98125,0.99382,0.98367,0.21856,0.12193,0.00188,0.00117,0.0018416,0.0018416,0.0018416
6,1057.01,0.28972,0.1711,0.00235,0.00199,0.97297,0.98275,0.99384,0.98704,0.20632,0.12687,0.00169,0.00114,0.001802,0.001802,0.001802
7,1231.54,0.28232,0.15836,0.00243,0.00179,0.98774,0.98575,0.99464,0.98547,0.22904,0.1099,0.00206,0.00101,0.0017624,0.0017624,0.0017624
8,1406.02,0.28226,0.14974,0.00242,0.00164,0.99124,0.99001,0.99478,0.97837,0.26584,0.11006,0.00196,0.00113,0.0017228,0.0017228,0.0017228
9,1580.75,0.27522,0.1489,0.0023,0.00178,0.98293,0.98925,0.9944,0.98865,0.20137,0.10882,0.00165,0.00083,0.0016832,0.0016832,0.0016832
10,1755.33,0.26638,0.13419,0.00226,0.00163,0.99368,0.9832,0.99469,0.98841,0.19453,0.09352,0.00159,0.00072,0.0016436,0.0016436,0.0016436
11,1929.84,0.26223,0.12949,0.0022,0.0016,0.98906,0.993,0.99477,0.9886,0.20858,0.08877,0.00173,0.00099,0.001604,0.001604,0.001604
12,2104.16,0.26262,0.13036,0.00219,0.00154,0.99208,0.991,0.99482,0.988,0.2215,0.09083,0.00199,0.0011,0.0015644,0.0015644,0.0015644
13,2278.45,0.26405,0.12339,0.00233,0.00154,0.99217,0.993,0.99467,0.98953,0.1997,0.08334,0.00177,0.00074,0.0015248,0.0015248,0.0015248
