epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,973.449,0.82445,1.22122,0.00487,0.03475,0.88519,0.91375,0.96566,0.91109,0.37595,0.34568,0.00313,0.00532,0.00333,0.00333,0.07003
2,1910.5,0.56108,0.43614,0.00314,0.01593,0.94175,0.94991,0.98648,0.96083,0.28047,0.22775,0.00226,0.00297,0.0065314,0.0065314,0.0398981
3,2842.08,0.45458,0.32154,0.00285,0.0077,0.95631,0.965,0.99073,0.94927,0.33446,0.18467,0.00277,0.00393,0.0096008,0.0096008,0.00963413
4,3772.9,0.37102,0.24868,0.00265,0.00435,0.96331,0.9855,0.99317,0.98082,0.23461,0.13892,0.00191,0.00269,0.009406,0.009406,0.009406
5,4701.56,0.34136,0.20901,0.00245,0.00377,0.98025,0.97575,0.99373,0.98161,0.22255,0.13614,0.00174,0.0018,0.009208,0.009208,0.009208
6,5629.23,0.31862,0.19204,0.00239,0.00344,0.98449,0.98415,0.99432,0.98533,0.21925,0.11123,0.00177,0.00171,0.00901,0.00901,0.00901
7,6558.12,0.31127,0.17873,0.00235,0.00303,0.98846,0.9848,0.99456,0.9845,0.21803,0.10687,0.00168,0.00146,0.008812,0.008812,0.008812
8,7489.32,0.3006,0.16187,0.00224,0.00293,0.98053,0.987,0.99404,0.98744,0.20262,0.10643,0.00158,0.00219,0.008614,0.008614,0.008614
9,8419.48,0.30005,0.15219,0.00224,0.00326,0.98998,0.992,0.99481,0.98956,0.19765,0.09086,0.00153,0.00151,0.008416,0.008416,0.008416
10,9349.37,0.29198,0.13707,0.0022,0.00298,0.98887,0.99425,0.9947,0.98881,0.2031,0.09232,0.00153,0.00177,0.008218,0.008218,0.008218
11,10280.5,0.28987,0.13986,0.00216,0.00314,0.98975,0.9894,0.9948,0.98974,0.19199,0.08635,0.00151,0.00124,0.00802,0.00802,0.00802
12,13183,0.29186,0.13419,0.00218,0.00355,0.98307,0.991,0.99454,0.98909,0.18974,0.0901,0.0015,0.00145,0.007822,0.007822,0.007822
13,13989.2,0.29263,0.13487,0.00216,0.00344,0.98955,0.99403,0.99455,0.98824,0.19912,0.0949,0.00153,0.00215,0.007624,0.007624,0.007624
14,15163.6,0.29189,0.13588,0.00217,0.00346,0.99292,0.99425,0.99491,0.98965,0.18636,0.07906,0.00148,0.00125,0.007426,0.007426,0.007426
15,15954.6,0.29665,0.12774,0.00222,0.00369,0.9963,0.992,0.99493,0.98936,0.19428,0.07838,0.00149,0.0015,0.007228,0.007228,0.007228
16,16640.6,0.28898,0.1298,0.00219,0.00315,0.99325,0.99272,0.9948,0.98964,0.18464,0.07902,0.00144,0.0011,0.00703,0.00703,0.00703
17,17435.8,0.2858,0.12972,0.00212,0.00327,0.99474,0.99025,0.99493,0.99011,0.18607,0.07906,0.00146,0.00136,0.006832,0.006832,0.006832
18,18329.3,0.28835,0.12332,0.00217,0.00325,0.9935,0.99355,0.99485,0.9902,0.18247,0.07567,0.00144,0.00111,0.006634,0.006634,0.006634
19,19221.4,0.28986,0.12414,0.00213,0.00352,0.99334,0.99425,0.9949,0.98981,0.18433,0.07609,0.00144,0.00138,0.006436,0.006436,0.006436
20,20118,0.28647,0.11842,0.00215,0.00355,0.99443,0.9985,0.99495,0.99084,0.18538,0.0722,0.00148,0.001,0.006238,0.006238,0.006238
21,21015.5,0.31076,0.13748,0.00231,0.00405,0.99199,0.989,0.99487,0.9906,0.18835,0.08214,0.00148,0.00109,0.00604,0.00604,0.00604
22,21907.2,0.28056,0.11813,0.00208,0.00343,0.99549,0.99575,0.99491,0.99104,0.18164,0.07098,0.00141,0.00108,0.005842,0.005842,0.005842
23,22805.1,0.2929,0.11682,0.00213,0.00407,0.99795,0.9965,0.99497,0.99049,0.17976,0.07425,0.0014,0.001,0.005644,0.005644,0.005644
24,23702.9,0.30073,0.12044,0.00212,0.00421,0.99438,0.99375,0.99486,0.99042,0.17754,0.07571,0.00139,0.00103,0.005446,0.005446,0.005446
25,24597.7,0.29085,0.1174,0.00213,0.00405,0.99377,0.99758,0.99477,0.99039,0.18296,0.07241,0.00139,0.00111,0.005248,0.005248,0.005248
26,25491.5,0.30553,0.1171,0.00208,0.00504,0.99255,0.99872,0.99492,0.99124,0.18147,0.07019,0.00141,0.00102,0.00505,0.00505,0.00505
27,26400.5,0.29534,0.11678,0.00214,0.00466,0.99526,0.99799,0.99495,0.99,0.1806,0.06991,0.00142,0.0009,0.004852,0.004852,0.004852
28,27269.2,0.29742,0.11556,0.00208,0.0046,0.99681,0.9975,0.99494,0.9914,0.17258,0.06561,0.00139,0.00091,0.004654,0.004654,0.004654
29,28139,0.29667,0.11397,0.00213,0.0045,0.99627,0.9965,0.99497,0.99132,0.17882,0.06874,0.0014,0.00106,0.004456,0.004456,0.004456
30,29008.2,0.29268,0.12011,0.00214,0.00448,0.99525,0.996,0.99482,0.99162,0.17444,0.07075,0.00139,0.00079,0.004258,0.004258,0.004258
31,29876.7,0.28868,0.11723,0.00207,0.00393,0.9975,0.99635,0.99485,0.99186,0.17125,0.06622,0.00138,0.00087,0.00406,0.00406,0.00406
32,30745.1,0.28195,0.11423,0.00202,0.00371,0.99685,0.99625,0.99489,0.99071,0.17528,0.06949,0.00141,0.00085,0.003862,0.003862,0.003862
33,31614,0.277,0.11821,0.00212,0.00345,0.99688,0.992,0.99477,0.99099,0.17477,0.07332,0.0014,0.00097,0.003664,0.003664,0.003664
34,32485.2,0.2715,0.1157,0.00211,0.00319,0.99092,0.99175,0.99472,0.9908,0.17415,0.08278,0.0014,0.00085,0.003466,0.003466,0.003466
35,33352.5,0.26788,0.11652,0.00214,0.00301,0.99328,0.99804,0.99483,0.99125,0.17206,0.0708,0.00137,0.00083,0.003268,0.003268,0.003268
