epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,875.554,0.82445,1.22122,0.00487,0.03475,0.88519,0.91375,0.96566,0.91109,0.37595,0.34568,0.00313,0.00532,0.00333,0.00333,0.07003
2,1676.68,0.56108,0.43614,0.00314,0.01593,0.94175,0.94991,0.98648,0.96083,0.28047,0.22775,0.00226,0.00297,0.0065314,0.0065314,0.0398981
3,2472.06,0.45458,0.32154,0.00285,0.0077,0.95631,0.965,0.99073,0.94927,0.33446,0.18467,0.00277,0.00393,0.0096008,0.0096008,0.00963413
4,3266.71,0.37102,0.24868,0.00265,0.00435,0.96331,0.9855,0.99317,0.98082,0.23461,0.13892,0.00191,0.00269,0.009406,0.009406,0.009406
5,4058.26,0.34136,0.20901,0.00245,0.00377,0.98025,0.97575,0.99373,0.98161,0.22255,0.13614,0.00174,0.0018,0.009208,0.009208,0.009208
6,4851.51,0.31862,0.19204,0.00239,0.00344,0.98449,0.98415,0.99432,0.98533,0.21925,0.11123,0.00177,0.00171,0.00901,0.00901,0.00901
7,5646.2,0.31127,0.17873,0.00235,0.00303,0.98846,0.9848,0.99456,0.9845,0.21803,0.10687,0.00168,0.00146,0.008812,0.008812,0.008812
8,6442.02,0.3006,0.16187,0.00224,0.00293,0.98053,0.987,0.99404,0.98744,0.20262,0.10643,0.00158,0.00219,0.008614,0.008614,0.008614
9,7236.76,0.30005,0.15219,0.00224,0.00326,0.98998,0.992,0.99481,0.98956,0.19765,0.09086,0.00153,0.00151,0.008416,0.008416,0.008416
10,8034.36,0.29198,0.13707,0.0022,0.00298,0.98887,0.99425,0.9947,0.98881,0.2031,0.09232,0.00153,0.00177,0.008218,0.008218,0.008218
11,8830.27,0.28987,0.13986,0.00216,0.00314,0.98975,0.9894,0.9948,0.98974,0.19199,0.08635,0.00151,0.00124,0.00802,0.00802,0.00802
12,9623.71,0.29186,0.13419,0.00218,0.00355,0.98307,0.991,0.99454,0.98909,0.18974,0.0901,0.0015,0.00145,0.007822,0.007822,0.007822
13,10346,0.29263,0.13487,0.00216,0.00344,0.98955,0.99403,0.99455,0.98824,0.19912,0.0949,0.00153,0.00215,0.007624,0.007624,0.007624
14,11037.5,0.29189,0.13588,0.00217,0.00346,0.99292,0.99425,0.99491,0.98965,0.18636,0.07906,0.00148,0.00125,0.007426,0.007426,0.007426
15,11729.7,0.29665,0.12774,0.00222,0.00369,0.9963,0.992,0.99493,0.98936,0.19428,0.07838,0.00149,0.0015,0.007228,0.007228,0.007228
16,12423.8,0.28898,0.1298,0.00219,0.00315,0.99325,0.99272,0.9948,0.98964,0.18464,0.07902,0.00144,0.0011,0.00703,0.00703,0.00703
