epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,182.901,0.7142,2.2482,0.00348,0.04076,0.85569,0.92625,0.95334,0.90719,0.33796,0.41482,0.00215,0.00548,0.00332,0.00332,0.07012
2,355.937,0.51743,0.43979,0.00263,0.02605,0.94436,0.93625,0.98443,0.96493,0.25779,0.23779,0.00197,0.00265,0.0065216,0.0065216,0.0399883
3,527.269,0.37308,0.3074,0.00254,0.00884,0.96087,0.96875,0.99111,0.9771,0.24181,0.16938,0.0019,0.00193,0.00959119,0.00959119,0.00972453
4,698.429,0.30257,0.203,0.00221,0.00299,0.97061,0.982,0.99259,0.98309,0.21258,0.13329,0.00171,0.00165,0.009406,0.009406,0.009406
5,869.946,0.29369,0.16569,0.00221,0.00278,0.99065,0.9895,0.99479,0.98938,0.1984,0.09416,0.00161,0.00174,0.009208,0.009208,0.009208
6,1041.06,0.27719,0.1447,0.00211,0.00247,0.98435,0.99034,0.99457,0.98862,0.20636,0.10369,0.00171,0.00125,0.00901,0.00901,0.00901
7,1212.17,0.28127,0.1415,0.00214,0.00263,0.98923,0.9872,0.9947,0.98833,0.20107,0.09078,0.00155,0.00151,0.008812,0.008812,0.008812
8,1383.24,0.27623,0.13029,0.00212,0.00272,0.99011,0.989,0.9948,0.99004,0.1924,0.08981,0.00152,0.00106,0.008614,0.008614,0.008614
9,1554.26,0.27765,0.13333,0.00207,0.00295,0.97672,0.98603,0.99426,0.98824,0.19526,0.11262,0.00154,0.00107,0.008416,0.008416,0.008416
10,1725.87,0.27699,0.12948,0.00216,0.00299,0.988,0.99425,0.99477,0.98751,0.20037,0.08966,0.00155,0.00139,0.008218,0.008218,0.008218
11,1898.3,0.27318,0.12653,0.00203,0.00286,0.99053,0.99387,0.99488,0.98821,0.19492,0.08255,0.00153,0.00091,0.00802,0.00802,0.00802
12,2072.25,0.26971,0.11943,0.00203,0.00268,0.9908,0.99638,0.99494,0.98995,0.18971,0.07634,0.00147,0.00127,0.007822,0.007822,0.007822
13,2246.67,0.26936,0.11538,0.00204,0.00281,0.99501,0.99794,0.99496,0.99077,0.19304,0.07359,0.00143,0.0013,0.007624,0.007624,0.007624
14,2420.38,0.2671,0.11255,0.00201,0.00261,0.99499,0.99306,0.99491,0.99062,0.18035,0.07298,0.00141,0.00096,0.007426,0.007426,0.007426
15,2594.59,0.26482,0.11088,0.00193,0.00284,0.99499,0.99362,0.99492,0.99116,0.17892,0.07452,0.0014,0.00112,0.007228,0.007228,0.007228
16,2769.43,0.26184,0.10486,0.00205,0.0029,0.99276,0.99431,0.99484,0.99156,0.17972,0.07476,0.00147,0.00086,0.00703,0.00703,0.00703
17,2944.2,0.27398,0.11165,0.00208,0.00301,0.99204,0.99745,0.99486,0.99122,0.18064,0.07262,0.0014,0.00108,0.006832,0.006832,0.006832
18,3118.97,0.26641,0.10688,0.00203,0.00278,0.99635,0.99775,0.99496,0.99113,0.18167,0.0695,0.0015,0.00093,0.006634,0.006634,0.006634
19,3294.1,0.26598,0.10782,0.00205,0.00303,0.99269,0.994,0.99492,0.99083,0.18138,0.07467,0.00145,0.00087,0.006436,0.006436,0.006436
20,3468.89,0.26493,0.10721,0.00209,0.00287,0.99701,0.99867,0.99497,0.99094,0.18541,0.06865,0.00144,0.00089,0.006238,0.006238,0.006238
21,3643.28,0.26372,0.11068,0.00202,0.00305,0.99303,0.99675,0.99492,0.9908,0.17219,0.07126,0.00136,0.00079,0.00604,0.00604,0.00604
22,3818.03,0.26707,0.10827,0.00199,0.00309,0.99462,0.9975,0.99496,0.99186,0.17461,0.07058,0.00137,0.00095,0.005842,0.005842,0.005842
23,3992.68,0.2667,0.10699,0.00199,0.00315,0.99498,0.998,0.99494,0.99178,0.17947,0.06934,0.00138,0.00118,0.005644,0.005644,0.005644
24,4167.23,0.26699,0.10689,0.00206,0.00318,0.99664,0.993,0.99489,0.99068,0.18138,0.07061,0.0014,0.00111,0.005446,0.005446,0.005446
25,4341.73,0.26869,0.10618,0.00195,0.00324,0.99153,0.99554,0.99487,0.99178,0.17033,0.07347,0.00134,0.00102,0.005248,0.005248,0.005248
26,4516.28,0.26925,0.11452,0.00204,0.0033,0.99447,0.98821,0.99482,0.99228,0.1671,0.07837,0.00133,0.00082,0.00505,0.00505,0.00505
27,4690.08,0.26851,0.10913,0.00197,0.00356,0.99551,0.998,0.99496,0.99121,0.18006,0.06835,0.00139,0.001,0.004852,0.004852,0.004852
28,4864.88,0.26761,0.10929,0.00201,0.00344,0.99451,0.99583,0.99491,0.99162,0.17097,0.06867,0.00134,0.00088,0.004654,0.004654,0.004654
29,5039.54,0.26867,0.10822,0.00199,0.00349,0.9955,0.99627,0.99495,0.9916,0.17356,0.06918,0.00135,0.00082,0.004456,0.004456,0.004456
30,5214.13,0.27539,0.10676,0.00204,0.0036,0.99724,0.99224,0.99494,0.99173,0.17331,0.0702,0.00134,0.00074,0.004258,0.004258,0.004258
31,5389.36,0.27354,0.10929,0.00197,0.00354,0.99156,0.99824,0.99492,0.99207,0.16772,0.06959,0.00132,0.00079,0.00406,0.00406,0.00406
32,5563.83,0.26823,0.10776,0.00201,0.0035,0.99825,0.99643,0.99497,0.99231,0.16752,0.0652,0.00133,0.00072,0.003862,0.003862,0.003862
33,5738.79,0.26369,0.10348,0.00197,0.00325,0.9975,0.99749,0.99465,0.99181,0.17138,0.06489,0.00137,0.00073,0.003664,0.003664,0.003664
34,5914.31,0.26044,0.09913,0.00193,0.00312,0.99576,0.9985,0.99498,0.99206,0.16723,0.06247,0.00133,0.00064,0.003466,0.003466,0.003466
35,6089.45,0.25724,0.09645,0.00197,0.00284,0.9965,0.99784,0.99498,0.99217,0.16937,0.06395,0.00136,0.00074,0.003268,0.003268,0.003268
36,6263.81,0.25685,0.09897,0.00196,0.00269,0.99741,0.99725,0.99497,0.99245,0.16891,0.06481,0.00139,0.00066,0.00307,0.00307,0.00307
37,6437.88,0.24822,0.09564,0.002,0.00235,0.9957,0.99775,0.99498,0.99243,0.16821,0.06395,0.00139,0.00067,0.002872,0.002872,0.002872
38,6613.11,0.24339,0.09453,0.00194,0.00223,0.997,0.99777,0.99499,0.99244,0.16365,0.06222,0.00129,0.00063,0.002674,0.002674,0.002674
39,6788.45,0.24069,0.09507,0.00195,0.0021,0.99675,0.99751,0.99497,0.99225,0.16466,0.06626,0.00132,0.00068,0.002476,0.002476,0.002476
40,6963.18,0.23923,0.09696,0.00195,0.00187,0.99769,0.998,0.99498,0.9925,0.16586,0.06251,0.00132,0.00068,0.002278,0.002278,0.002278
41,7136.47,0.19476,0.07605,0.0011,0.00126,0.99551,0.99825,0.99495,0.99192,0.16556,0.06424,0.00131,0.00065,0.00208,0.00208,0.00208
42,7307.3,0.19128,0.07214,0.00109,0.00122,0.99725,0.99878,0.99497,0.99279,0.16346,0.06132,0.00132,0.00065,0.001882,0.001882,0.001882
43,7477.75,0.18902,0.07477,0.00109,0.00108,0.99526,0.99805,0.99497,0.99207,0.16466,0.06547,0.00131,0.00069,0.001684,0.001684,0.001684
44,7649.12,0.18447,0.06876,0.00106,0.001,0.9985,0.99724,0.99498,0.99254,0.16385,0.06255,0.0013,0.00064,0.001486,0.001486,0.001486
45,7820.43,0.18188,0.07098,0.00105,0.00093,0.999,0.99877,0.99498,0.99229,0.16486,0.06116,0.0013,0.00064,0.001288,0.001288,0.001288
46,7991.82,0.17933,0.06796,0.00104,0.00082,0.9975,0.9983,0.99498,0.99271,0.16275,0.06182,0.00128,0.00066,0.00109,0.00109,0.00109
47,8163.1,0.17608,0.06527,0.00102,0.00079,0.9985,0.99741,0.99498,0.99222,0.16414,0.06194,0.00129,0.00063,0.000892,0.000892,0.000892
48,8334.35,0.17557,0.06452,0.00104,0.00077,0.998,0.99852,0.99498,0.99283,0.16196,0.06031,0.00129,0.00061,0.000694,0.000694,0.000694
49,8505.68,0.17264,0.06409,0.00101,0.00074,0.998,0.99887,0.99498,0.99237,0.16265,0.06029,0.00129,0.00062,0.000496,0.000496,0.000496
50,8677.05,0.16995,0.06231,0.001,0.00073,0.99894,0.99925,0.99499,0.99271,0.1617,0.05921,0.00129,0.00062,0.000298,0.000298,0.000298
