epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,179.035,0.77661,2.47214,0.004,0.03471,0.87435,0.88721,0.95362,0.80563,0.69553,0.45103,0.00375,0.06192,0.00332,0.00332,0.07012
2,355.174,0.59992,0.48243,0.00309,0.02451,0.93808,0.95625,0.98706,0.9413,0.34054,0.23448,0.0025,0.00359,0.0065216,0.0065216,0.0399883
3,530.163,0.46433,0.34405,0.00297,0.00835,0.96449,0.95748,0.99043,0.95524,0.31145,0.19291,0.00252,0.0034,0.00959119,0.00959119,0.00972453
4,705.443,0.39265,0.25502,0.00267,0.00429,0.98219,0.966,0.99319,0.97168,0.26572,0.15337,0.00217,0.00239,0.009406,0.009406,0.009406
5,880.678,0.35691,0.20749,0.00249,0.00387,0.98037,0.97376,0.99375,0.97877,0.239,0.13692,0.00195,0.00233,0.009208,0.009208,0.009208
6,1055.77,0.33627,0.1806,0.00238,0.00352,0.98229,0.98454,0.99423,0.97829,0.25175,0.13622,0.00191,0.00292,0.00901,0.00901,0.00901
7,1231.16,0.33246,0.16866,0.00239,0.00365,0.99032,0.98925,0.99481,0.98068,0.25563,0.11167,0.00217,0.0025,0.008812,0.008812,0.008812
8,1406.05,0.32246,0.155,0.00234,0.00364,0.98678,0.98883,0.99472,0.98373,0.22055,0.10099,0.00177,0.00188,0.008614,0.008614,0.008614
9,1581.64,0.32275,0.15338,0.00226,0.00429,0.98277,0.984,0.99449,0.98175,0.23529,0.11264,0.00188,0.00178,0.008416,0.008416,0.008416
10,1757.26,0.31749,0.14112,0.0023,0.00399,0.98913,0.99325,0.99483,0.98168,0.24008,0.09855,0.00198,0.00151,0.008218,0.008218,0.008218
11,1932.39,0.31972,0.14285,0.00225,0.00414,0.99169,0.98449,0.99472,0.98561,0.21188,0.10399,0.00168,0.00144,0.00802,0.00802,0.00802
12,2106.67,0.31398,0.14127,0.00221,0.00341,0.99394,0.98465,0.99476,0.98552,0.21664,0.0958,0.0017,0.00148,0.007822,0.007822,0.007822
13,2281.5,0.31638,0.13739,0.00221,0.00405,0.98456,0.994,0.99469,0.98526,0.23114,0.09799,0.00192,0.00147,0.007624,0.007624,0.007624
14,2457.02,0.31328,0.13647,0.0022,0.00376,0.9947,0.98975,0.99492,0.98512,0.22187,0.09435,0.00179,0.00143,0.007426,0.007426,0.007426
15,2632.53,0.31087,0.13462,0.00215,0.00391,0.99475,0.9946,0.99494,0.98773,0.21369,0.08366,0.00176,0.00123,0.007228,0.007228,0.007228
16,2807.66,0.31477,0.127,0.00223,0.00429,0.99549,0.99373,0.9949,0.98611,0.2311,0.08948,0.0019,0.00182,0.00703,0.00703,0.00703
17,2983.36,0.32173,0.13932,0.00237,0.004,0.99259,0.98775,0.9948,0.98584,0.21904,0.09456,0.00172,0.00193,0.006832,0.006832,0.006832
18,3157.77,0.3206,0.13447,0.0023,0.00443,0.99126,0.99325,0.99475,0.98715,0.20669,0.0905,0.00168,0.00155,0.006634,0.006634,0.006634
19,3332.78,0.31446,0.13532,0.00223,0.00444,0.99051,0.99178,0.99488,0.98966,0.20035,0.08543,0.00164,0.00125,0.006436,0.006436,0.006436
20,3507.54,0.31134,0.13355,0.00226,0.00448,0.99051,0.99104,0.99488,0.98721,0.20663,0.08541,0.0016,0.00148,0.006238,0.006238,0.006238
21,3682.24,0.31341,0.12569,0.0022,0.0047,0.99321,0.99425,0.99493,0.9884,0.1984,0.08065,0.00163,0.00118,0.00604,0.00604,0.00604
22,3857.13,0.31018,0.12106,0.00219,0.00452,0.99426,0.99598,0.99495,0.9889,0.19805,0.08376,0.00158,0.00109,0.005842,0.005842,0.005842
23,4032.13,0.31729,0.12288,0.00218,0.00497,0.99029,0.99475,0.99491,0.9886,0.19886,0.08169,0.0016,0.00125,0.005644,0.005644,0.005644
24,4207.1,0.32682,0.13546,0.00225,0.00513,0.99323,0.992,0.99492,0.98949,0.19637,0.08017,0.00155,0.00122,0.005446,0.005446,0.005446
25,4381.17,0.31575,0.12636,0.00211,0.00489,0.9935,0.99675,0.99495,0.98919,0.19689,0.07766,0.00158,0.00129,0.005248,0.005248,0.005248
26,4555.68,0.32189,0.12542,0.00219,0.00521,0.99675,0.99545,0.99498,0.9899,0.19598,0.07718,0.00155,0.00147,0.00505,0.00505,0.00505
27,4730.47,0.31742,0.12421,0.00213,0.00503,0.99825,0.99627,0.99499,0.98903,0.19908,0.07603,0.0016,0.00102,0.004852,0.004852,0.004852
28,4905.69,0.31021,0.12562,0.00219,0.00484,0.99617,0.99275,0.99498,0.99007,0.19521,0.08057,0.00159,0.00096,0.004654,0.004654,0.004654
29,5081.65,0.30411,0.12719,0.0022,0.00459,0.99327,0.99677,0.99496,0.98941,0.19362,0.07468,0.00154,0.00113,0.004456,0.004456,0.004456
30,5256.46,0.29398,0.11966,0.00217,0.00412,0.99645,0.99425,0.99499,0.99023,0.18656,0.07238,0.00152,0.00102,0.004258,0.004258,0.004258
31,5432.46,0.30107,0.11857,0.00217,0.00429,0.99431,0.99775,0.99495,0.98931,0.1947,0.08104,0.00161,0.00096,0.00406,0.00406,0.00406
32,5607.48,0.29143,0.11752,0.00219,0.00392,0.99556,0.996,0.99498,0.99039,0.18905,0.07562,0.00153,0.00102,0.003862,0.003862,0.003862
33,5781.97,0.28602,0.1122,0.0021,0.00371,0.99531,0.9955,0.99496,0.99067,0.19199,0.07359,0.00156,0.00093,0.003664,0.003664,0.003664
34,5957.69,0.28043,0.10794,0.00207,0.00339,0.99673,0.99675,0.99499,0.99011,0.18345,0.07252,0.00147,0.00094,0.003466,0.003466,0.003466
35,6133.38,0.27458,0.10371,0.00211,0.00317,0.99476,0.9985,0.99499,0.99032,0.18293,0.06833,0.00147,0.00102,0.003268,0.003268,0.003268
36,6308.97,0.2746,0.10822,0.00204,0.00303,0.98992,0.9965,0.99496,0.99108,0.1841,0.07354,0.00148,0.00083,0.00307,0.00307,0.00307
37,6484.45,0.26735,0.10585,0.00209,0.00271,0.99597,0.9965,0.99498,0.99115,0.1815,0.06836,0.00146,0.00095,0.002872,0.002872,0.002872
38,6659.89,0.26419,0.10369,0.00207,0.00248,0.99749,0.99725,0.995,0.99106,0.18267,0.0668,0.00147,0.00087,0.002674,0.002674,0.002674
39,6834.9,0.26291,0.1026,0.00207,0.00247,0.99725,0.99637,0.99499,0.99121,0.1834,0.06915,0.00149,0.00105,0.002476,0.002476,0.002476
40,7010.21,0.26021,0.10511,0.00205,0.00206,0.99975,0.99347,0.995,0.99087,0.18726,0.069,0.00153,0.00083,0.002278,0.002278,0.002278
